"State_Name","DelimID","Constituency_No","Constituency_Name","Constituency_Type","District_Name","Sub_Region","Source"
"Karnataka",4,1,"NIPPANI","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,2,"CHIKKODI-SADALGA","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,3,"ATHANI","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,4,"KAGWAD","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,5,"KUDACHI","SC","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,6,"RAYBAG","SC","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,7,"HUKKERI","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,8,"ARABHAVI","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,9,"GOKAK","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,10,"YEMKANMARDI","ST","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,11,"BELGAUM UTTAR","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,12,"BELGAUM DAKSHIN","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,13,"BELGAUM RURAL","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,14,"KHANAPUR","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,15,"KITTUR","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,16,"BAILHONGAL","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,17,"SAUNDATTI YELLAMMA","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,18,"RAMDURG","GEN","BELGAUM","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,19,"MUDHOL","SC","BAGALKOT","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,20,"TERDAL","GEN","BAGALKOT","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,21,"JAMKHANDI","GEN","BAGALKOT","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,22,"BILGI","GEN","BAGALKOT","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,23,"BADAMI","GEN","BAGALKOT","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,24,"BAGALKOT","GEN","BAGALKOT","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,25,"HUNGUND","GEN","BAGALKOT","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,26,"MUDDEBIHAL","GEN","BIJAPUR","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,27,"DEVAR HIPPARGI","GEN","BIJAPUR","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,28,"BASAVANA BAGEVADI","GEN","BIJAPUR","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,29,"BABALESHWAR","GEN","BIJAPUR","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,30,"BIJAPUR CITY","GEN","BIJAPUR","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,31,"NAGTHAN","SC","BIJAPUR","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,32,"INDI","GEN","BIJAPUR","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,33,"SINDGI","GEN","BIJAPUR","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,34,"AFZALPUR","GEN","GULBARGA","GULBARGA REGION","Team3 ELM"
"Karnataka",4,35,"JEVARGI","GEN","GULBARGA","GULBARGA REGION","Team3 ELM"
"Karnataka",4,36,"SHORAPUR","ST","YADGIR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,37,"SHAHAPUR","GEN","YADGIR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,38,"YADGIR","GEN","YADGIR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,39,"GURMITKAL","GEN","YADGIR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,40,"CHITTAPUR","SC","GULBARGA","GULBARGA REGION","Team3 ELM"
"Karnataka",4,41,"SEDAM","GEN","GULBARGA","GULBARGA REGION","Team3 ELM"
"Karnataka",4,42,"CHINCHOLI","SC","GULBARGA","GULBARGA REGION","Team3 ELM"
"Karnataka",4,43,"GULBARGA RURAL","SC","GULBARGA","GULBARGA REGION","Team3 ELM"
"Karnataka",4,44,"GULBARGA DAKSHIN","GEN","GULBARGA","GULBARGA REGION","Team3 ELM"
"Karnataka",4,45,"GULBARGA UTTAR","GEN","GULBARGA","GULBARGA REGION","Team3 ELM"
"Karnataka",4,46,"ALAND","GEN","GULBARGA","GULBARGA REGION","Team3 ELM"
"Karnataka",4,47,"BASAVAKALYAN","GEN","BIDAR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,48,"HOMNABAD","GEN","BIDAR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,49,"BIDAR SOUTH","GEN","BIDAR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,50,"BIDAR","GEN","BIDAR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,51,"BHALKI","GEN","BIDAR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,52,"AURAD","SC","BIDAR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,53,"RAICHUR RURAL","ST","RAICHUR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,54,"RAICHUR","GEN","RAICHUR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,55,"MANVI","ST","RAICHUR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,56,"DEVADURGA","ST","RAICHUR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,57,"LINGSUGUR","SC","RAICHUR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,58,"SINDHANUR","GEN","RAICHUR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,59,"MASKI","ST","RAICHUR","GULBARGA REGION","Team3 ELM"
"Karnataka",4,60,"KUSHTAGI","GEN","KOPPAL","MYSORE DIVISION","Team3 ELM"
"Karnataka",4,61,"KANAKAGIRI","SC","KOPPAL","MYSORE DIVISION","Team3 ELM"
"Karnataka",4,62,"GANGAWATI","GEN","KOPPAL","MYSORE DIVISION","Team3 ELM"
"Karnataka",4,63,"YELBURGA","GEN","KOPPAL","MYSORE DIVISION","Team3 ELM"
"Karnataka",4,64,"KOPPAL","GEN","KOPPAL","MYSORE DIVISION","Team3 ELM"
"Karnataka",4,65,"SHIRAHATTI","SC","GADAG","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,66,"GADAG","GEN","GADAG","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,67,"RON","GEN","GADAG","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,68,"NARGUND","GEN","GADAG","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,69,"NAVALGUND","GEN","DHARWAD","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,70,"KUNDGOL","GEN","DHARWAD","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,71,"DHARWAD","GEN","DHARWAD","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,72,"HUBLI-DHARWAD-EAST","SC","DHARWAD","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,73,"HUBLI-DHARWAD-CENTRAL","GEN","DHARWAD","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,74,"HUBLI-DHARWAD- WEST","GEN","DHARWAD","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,75,"KALGHATGI","GEN","DHARWAD","BELGAUM DIVISION","Team3 ELM"
"Karnataka",4,76,"HALIYAL","GEN","UTTARA KANNADA","BELGAUM DIVISION","Team3 ELM"
