"","mapped_ID","Cand1","District_Name","is_done","comments","Position","user_name","State_name","Sex","poll_no","Cand_Type","AC_no","DelimID","sa_no","Party","Year","Sub_Region","Votes","ID","Age","email","AC_name","X","X.1","Times_contested","Times_won"
"1",2754,"NAROTTAMBHAI PATEL","SURAT","yes","","1",NA,"Gujarat","M","0","GEN",164,4,12,"BJP","2012","SOUTH GUJARAT",74946,9233,76,NA,"UDHNA","","",7,6
"2",2892,"VAJUBHAI RUDABHAI VALA","PORBANDAR","yes","","1",NA,"Gujarat","M","0","GEN",69,4,12,"BJP","2012","SAURASHTRA",90405,2892,74,NA,"RAJKOT WEST","","",8,7
"3",2902,"KESHUBHAI SAVDASBHAI PATEL","BHAVNAGAR","yes","","1",NA,"Gujarat","M","0","GEN",87,4,12,"GPP","2012","SAURASHTRA",85967,13600,84,NA,"VISAVADAR","","",6,6
"4",3348,"VAGHELA LILADHARBHAI KHODAJI","BANASKANTHA","yes","","1",NA,"Gujarat","M","0","GEN",13,4,12,"BJP","2012","NORTH GUJARAT",66294,3348,78,NA,"DEESA","","",9,6
"5",3352,"JOITABHAI KASNABHAI PATEL","BANASKANTHA","yes","","1",NA,"Gujarat","M","0","GEN",9,4,12,"INC","2012","NORTH GUJARAT",87460,3352,71,NA,"DHANERA","","",4,3
"6",3775,"PATKAR RAMANBHAI NANUBHAI","VALSAD","yes","","1",NA,"Gujarat","M","0","ST",182,4,12,"BJP","2012","SOUTH GUJARAT",69450,4912,60,NA,"UMBERGAON","","",8,4
"7",4602,"CHAUHAN MANSINH KOHYABHAI","VADODARA","yes","","1",NA,"Gujarat","M","0","GEN",121,4,12,"INC","2012","AHMEDABAD RURAL",87088,4602,61,NA,"BALASINOR","","",7,5
"8",4914,"CHHEDA TARACHAND JAGSHIBHAI","KACHCHH","yes","","1",NA,"Gujarat","M","0","GEN",2,4,12,"BJP","2012","KACHCHH",61984,12751,61,NA,"MANDVI","","",3,2
"9",5155,"RADADIYA VITHALBHAI HANSRAJBHAI","JUNAGADH","yes","","1",NA,"Gujarat","M","0","GEN",75,4,12,"INC","2012","SAURASHTRA",76189,5155,54,NA,"DHORAJI","","",6,6
"10",5254,"PABUBHA VIRAMBHA MANEK","BHAVNAGAR","yes","","1",NA,"Gujarat","M","0","GEN",82,4,12,"BJP","2012","SAURASHTRA",70062,5254,56,NA,"DWARKA","","",6,6
"11",5297,"CHAVDA JAWAHARBHAI PETHALAJIBHAI","BHAVNAGAR","yes","","1",NA,"Gujarat","M","0","GEN",85,4,12,"INC","2012","SAURASHTRA",72879,13580,48,NA,"MANAVADAR","","",4,2
"12",5336,"VANSH PUNJABHAI BHIMABHAI","ANAND","yes","","1",NA,"Gujarat","M","0","GEN",93,4,12,"INC","2012","SAURASHTRA",69824,7378,52,NA,"UNA","","",6,5
"13",5362,"MASHRU MAHENDRABHAI LILADHARBHAI","BHAVNAGAR","yes","","1",NA,"Gujarat","M","0","GEN",86,4,12,"BJP","2012","SAURASHTRA",66669,11802,66,NA,"JUNAGADH","","",6,6
"14",5587,"CHUDASAMA BHUPENDRASINH MANUBHA","RAJKOT","yes","","1",NA,"Gujarat","M","0","GEN",58,4,12,"BJP","2012","AHMEDABAD RURAL",75242,3117,63,NA,"DHOLKA","","",8,4
"15",5972,"DESAI RANCHHOD MAHIJIBHAI (RANCHHOD RABARI VAKIL)","PATAN","yes","","1",NA,"Gujarat","M","0","GEN",18,4,12,"BJP","2012","NORTH GUJARAT",67224,12902,55,NA,"PATAN","","",5,2
"16",5998,"DILIPKUMAR VIRAJIBHAI THAKOR","PATAN","yes","","1",NA,"Gujarat","M","0","GEN",17,4,12,"BJP","2012","NORTH GUJARAT",83462,12884,53,NA,"CHANASMA","","",6,4
"17",6026,"KHANPURA DHARSHIBHAI LAKHABHAI","BANASKANTHA","yes","","1",NA,"Gujarat","M","0","GEN",15,4,12,"INC","2012","NORTH GUJARAT",73900,6026,71,NA,"KANKREJ","","",6,4
"18",6232,"C.K. RAULJI","NARMADA","yes","","1",NA,"Gujarat","M","0","GEN",126,4,12,"INC","2012","CENTRAL GUJARAT",73367,8591,58,NA,"GODHRA","","",6,4
"19",6255,"HIRABHAI HARIBHAI PATEL","VADODARA","yes","","1",NA,"Gujarat","M","0","GEN",122,4,12,"INC","2012","AHMEDABAD RURAL",72814,3487,68,NA,"LUNAWADA","","",4,2
"20",6284,"PARMAR RAMSINH PRABHATBHAI","VADODARA","yes","","1",NA,"Gujarat","M","0","GEN",119,4,12,"INC","2012","AHMEDABAD RURAL",78226,6284,67,NA,"THASRA","","",5,4
"21",6318,"THAKOR NATVARSINH FULSINH","VADODARA","yes","","1",NA,"Gujarat","M","0","GEN",118,4,12,"INC","2012","AHMEDABAD RURAL",58373,6318,69,NA,"MAHUDHA","","",6,6
"22",6418,"RATHWA MOHANSINH CHHOTUBHAI","SURAT","yes","tbr","1",NA,"Gujarat","M","0","ST",137,4,12,"INC","2012","SOUTH GUJARAT",65043,14021,68,NA,"CHHOTA UDAIPUR","","",9,8
"23",6518,"SHRIVASTAV MADHUBHAI BABUBHAI","SURAT","yes","","1",NA,"Gujarat","M","0","GEN",136,4,12,"BJP","2012","SOUTH GUJARAT",65851,12516,61,NA,"VAGHODIA","","",6,5
"24",6611,"VASAVA CHHOTUBHAI AMARASINHBHAI","SURAT","yes","","1",NA,"Gujarat","M","0","ST",152,4,12,"JD(U)","2012","SOUTH GUJARAT",66622,12579,67,NA,"JHAGADIA","","",7,6
"25",6616,"MOTILAL PUNIABHAI VASAVA","SURAT","yes","","1",NA,"Gujarat","M","0","ST",149,4,12,"BJP","2012","SOUTH GUJARAT",56471,6616,49,NA,"DEDIAPADA","","",6,3
"26",6664,"DHODIYA MOHANBHAI DHANJIBHAI","SURAT","yes","","1",NA,"Gujarat","M","0","ST",170,4,12,"BJP","2012","SOUTH GUJARAT",74161,6664,55,NA,"MAHUVA","","",4,2
"27",6853,"AHIR VASANBHAI GOPALBHAI","KACHCHH","yes","","1",NA,"Gujarat","M","0","GEN",4,4,12,"BJP","2012","KACHCHH",64789,6853,54,NA,"ANJAR","","",4,4
"28",6979,"KUNDARIYA MOHANBHAI KALYANJIBHAI","DEVBHOOMI DWARKA","yes","","1",NA,"Gujarat","M","0","GEN",66,4,12,"BJP","2012","SAURASHTRA",63630,9433,61,NA,"TANKARA","","",5,5
"29",7267,"BABUBHAI BHIMABHAI BOKHIRIA","BHAVNAGAR","yes","","1",NA,"Gujarat","M","0","GEN",83,4,12,"BJP","2012","SAURASHTRA",77604,7267,59,NA,"PORBANDAR","","",4,3
"30",7550,"VANANI NANUBHAI BHAGWANBHAI (NANUBHAI PATEL)","SURAT","yes","","1",NA,"Gujarat","M","0","GEN",166,4,12,"BJP","2012","SOUTH GUJARAT",88604,7550,56,NA,"KATARGAM","","",2,1
"31",7607,"KESHUBHAI HIRJIBHAI NAKARANI","KHEDA","yes","","1",NA,"Gujarat","M","0","GEN",101,4,12,"BJP","2012","SAURASHTRA",53377,7607,55,NA,"GARIADHAR","","",5,5
